#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            BlockWeight         BlockCPU            AcceptRatio         
         0    2.4603372641e+03    6.0825779437e+06    2.4445060652e+03    1.5831198915e+01    2.4445060652e+03    4.0000000000e+02    1.5302980461e+00    9.5623275862e-01
         1    2.4281551703e+03    5.9013522658e+06    2.4123239714e+03    1.5831198915e+01    2.4123239714e+03    4.0000000000e+02    1.5793231005e+00    9.5755603448e-01
         2    2.4192928167e+03    5.8577103418e+06    2.4034616178e+03    1.5831198915e+01    2.4034616178e+03    4.0000000000e+02    1.5829984139e+00    9.5812931034e-01
         3    2.4466793392e+03    6.0015089132e+06    2.4308481402e+03    1.5831198915e+01    2.4308481402e+03    4.0000000000e+02    1.6071146789e+00    9.5756034483e-01
