#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            BlockWeight         BlockCPU            AcceptRatio         
         0    2.2747529921e+03    5.1745331946e+06    2.2287156970e+03    4.6037295082e+01    2.2287156970e+03    4.0000000000e+02    2.3185049194e+00    9.1165948276e-01
         1    2.2754569209e+03    5.1777464730e+06    2.2276219517e+03    4.7834969117e+01    2.2276219517e+03    4.0000000000e+02    2.4124819820e+00    9.1339655172e-01
         2    2.2750217833e+03    5.1757496283e+06    2.2252922891e+03    4.9729494201e+01    2.2252922891e+03    4.0000000000e+02    2.3940679969e+00    9.1342672414e-01
         3    2.2750642313e+03    5.1759631521e+06    2.2264261517e+03    4.8638079646e+01    2.2264261517e+03    4.0000000000e+02    2.4314118270e+00    9.1468103448e-01
