#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
         0   -2.8068072596e-01    2.3394528297e-01   -1.2985161104e+00    1.0178353845e+00   -1.2985161104e+00    1.2800000000e+02    5.4215703125e-05    1.0000000000e+00
         1   -2.8218028304e-01    2.3878061187e-01   -1.3045884374e+00    1.0224081544e+00   -1.3045884374e+00    1.2800000000e+02    9.9050258789e-05    1.0000000000e+00
         2   -2.7342536302e-01    2.2903873683e-01   -1.3084022680e+00    1.0349769050e+00   -1.3084022680e+00    1.2800000000e+02    5.9167099609e-05    1.0000000000e+00
         3   -2.6543602570e-01    2.3105285272e-01   -1.3135825923e+00    1.0481465666e+00   -1.3135825923e+00    1.2800000000e+02    5.9860937500e-05    1.0000000000e+00
         4   -2.5912808109e-01    2.2760762228e-01   -1.3155565804e+00    1.0564284993e+00   -1.3155565804e+00    1.2800000000e+02    5.9787128906e-05    1.0000000000e+00
         5   -2.5494152322e-01    2.2349350730e-01   -1.3174978240e+00    1.0625563008e+00   -1.3174978240e+00    1.2800000000e+02    5.9603232422e-05    1.0000000000e+00
         6   -2.5430078449e-01    2.2054610472e-01   -1.3211635992e+00    1.0668628147e+00   -1.3211635992e+00    1.2800000000e+02    6.0117924805e-05    1.0000000000e+00
         7   -2.6186473135e-01    2.2217179482e-01   -1.3219702997e+00    1.0601055683e+00   -1.3219702997e+00    1.2800000000e+02    5.9743300781e-05    1.0000000000e+00
         8   -2.6059775909e-01    2.2880278950e-01   -1.3177142079e+00    1.0571164488e+00   -1.3177142079e+00    1.2800000000e+02    5.9874575195e-05    1.0000000000e+00
         9   -2.6323023295e-01    2.3216780226e-01   -1.3227850426e+00    1.0595548096e+00   -1.3227850426e+00    1.2800000000e+02    6.0117348633e-05    1.0000000000e+00
        10   -2.5604106418e-01    2.2740351094e-01   -1.3290983169e+00    1.0730572527e+00   -1.3290983169e+00    1.2800000000e+02    5.9627250977e-05    1.0000000000e+00
        11   -2.5329143444e-01    2.2778813090e-01   -1.3208609931e+00    1.0675695586e+00   -1.3208609931e+00    1.2800000000e+02    5.9930727539e-05    1.0000000000e+00
        12   -2.5867576007e-01    2.3713403025e-01   -1.3237001569e+00    1.0650243968e+00   -1.3237001569e+00    1.2800000000e+02    5.9455922852e-05    1.0000000000e+00
        13   -2.6836866271e-01    2.4245255891e-01   -1.3243639143e+00    1.0559952516e+00   -1.3243639143e+00    1.2800000000e+02    6.0021772461e-05    1.0000000000e+00
        14   -2.7498461079e-01    2.4948958440e-01   -1.3376799191e+00    1.0626953083e+00   -1.3376799191e+00    1.2800000000e+02    5.9820048828e-05    1.0000000000e+00
        15   -2.7229238364e-01    2.4893826723e-01   -1.3265489148e+00    1.0542565311e+00   -1.3265489148e+00    1.2800000000e+02    5.9826713867e-05    1.0000000000e+00
        16   -2.6828170823e-01    2.4160217363e-01   -1.3225413726e+00    1.0542596644e+00   -1.3225413726e+00    1.2800000000e+02    5.9714204102e-05    1.0000000000e+00
        17   -2.6270575739e-01    2.3284439374e-01   -1.3174694644e+00    1.0547637070e+00   -1.3174694644e+00    1.2800000000e+02    5.9956791992e-05    1.0000000000e+00
        18   -2.6381122409e-01    2.3198613078e-01   -1.3095929056e+00    1.0457816815e+00   -1.3095929056e+00    1.2800000000e+02    5.9906801757e-05    1.0000000000e+00
        19   -2.6567077836e-01    2.4845765301e-01   -1.3182739831e+00    1.0526032048e+00   -1.3182739831e+00    1.2800000000e+02    5.9909462891e-05    1.0000000000e+00
        20   -2.9023874272e-01    3.1453483392e-01   -1.3237886527e+00    1.0335499100e+00   -1.3237886527e+00    1.2800000000e+02    6.0163784180e-05    1.0000000000e+00
        21   -2.8817727314e-01    2.8486830018e-01   -1.3149531503e+00    1.0267758771e+00   -1.3149531503e+00    1.2800000000e+02    5.9705708008e-05    1.0000000000e+00
        22   -2.8195464389e-01    2.4719908134e-01   -1.3068708940e+00    1.0249162501e+00   -1.3068708940e+00    1.2800000000e+02    5.9721601562e-05    1.0000000000e+00
        23   -2.8186055700e-01    2.3879074616e-01   -1.3105022962e+00    1.0286417391e+00   -1.3105022962e+00    1.2800000000e+02    8.4090825195e-05    9.9218750000e-01
        24   -2.7957327512e-01    2.3039572248e-01   -1.3016012119e+00    1.0220279368e+00   -1.3016012119e+00    1.2800000000e+02    5.9419741211e-05    1.0000000000e+00
        25   -2.7393700182e-01    2.3055859538e-01   -1.3039470767e+00    1.0300100749e+00   -1.3039470767e+00    1.2800000000e+02    5.9848603516e-05    1.0000000000e+00
        26   -2.7252392310e-01    2.2794087560e-01   -1.3092544335e+00    1.0367305104e+00   -1.3092544335e+00    1.2800000000e+02    5.9616674805e-05    1.0000000000e+00
        27   -2.7189241186e-01    2.3006355805e-01   -1.3066269883e+00    1.0347345764e+00   -1.3066269883e+00    1.2800000000e+02    5.9795463867e-05    1.0000000000e+00
        28   -2.7155412099e-01    2.2533401980e-01   -1.3083546328e+00    1.0368005119e+00   -1.3083546328e+00    1.2800000000e+02    5.9470561524e-05    1.0000000000e+00
        29   -2.5967468957e-01    2.2392137630e-01   -1.3070411638e+00    1.0473664742e+00   -1.3070411638e+00    1.2800000000e+02    5.9655024414e-05    1.0000000000e+00
        30   -2.5622884253e-01    2.2467162537e-01   -1.3128453350e+00    1.0566164925e+00   -1.3128453350e+00    1.2800000000e+02    6.0082421875e-05    1.0000000000e+00
        31   -2.7065835879e-01    2.4620810317e-01   -1.3209299528e+00    1.0502715940e+00   -1.3209299528e+00    1.2800000000e+02    5.9691479492e-05    1.0000000000e+00
        32   -2.7181913541e-01    2.4803909828e-01   -1.3217326082e+00    1.0499134728e+00   -1.3217326082e+00    1.2800000000e+02    6.0139868164e-05    1.0000000000e+00
        33   -2.7099526416e-01    2.2776112855e-01   -1.3076987950e+00    1.0367035309e+00   -1.3076987950e+00    1.2800000000e+02    5.9668105469e-05    1.0000000000e+00
        34   -2.8525632933e-01    2.5496821141e-01   -1.3128344957e+00    1.0275781664e+00   -1.3128344957e+00    1.2800000000e+02    5.9155883789e-05    1.0000000000e+00
        35   -2.8118733273e-01    2.3289607675e-01   -1.2980958814e+00    1.0169085487e+00   -1.2980958814e+00    1.2800000000e+02    6.0014326172e-05    1.0000000000e+00
        36   -2.9106090012e-01    2.3571761940e-01   -1.2909395458e+00    9.9987864565e-01   -1.2909395458e+00    1.2800000000e+02    5.9900161133e-05    1.0000000000e+00
        37   -2.8968344193e-01    2.4389166554e-01   -1.2968899707e+00    1.0072065288e+00   -1.2968899707e+00    1.2800000000e+02    5.9760810547e-05    1.0000000000e+00
        38   -2.9951627284e-01    2.4990613718e-01   -1.2949622550e+00    9.9544598216e-01   -1.2949622550e+00    1.2800000000e+02    5.9378759766e-05    1.0000000000e+00
        39   -3.0466228814e-01    2.4835074970e-01   -1.2944927615e+00    9.8983047334e-01   -1.2944927615e+00    1.2800000000e+02    6.0078256836e-05    1.0000000000e+00
        40   -3.0717004030e-01    2.5454949444e-01   -1.2900244871e+00    9.8285444685e-01   -1.2900244871e+00    1.2800000000e+02    6.0251552734e-05    1.0000000000e+00
        41   -3.0307509605e-01    2.4651210159e-01   -1.2865314912e+00    9.8345639520e-01   -1.2865314912e+00    1.2800000000e+02    5.9757661133e-05    1.0000000000e+00
        42   -2.9975813597e-01    2.4108308641e-01   -1.2761067531e+00    9.7634861714e-01   -1.2761067531e+00    1.2800000000e+02    5.9404375000e-05    1.0000000000e+00
        43   -3.0768283758e-01    2.4677752665e-01   -1.2878415937e+00    9.8015875614e-01   -1.2878415937e+00    1.2800000000e+02    5.9819047851e-05    1.0000000000e+00
        44   -2.9648548554e-01    2.3879439696e-01   -1.2797343603e+00    9.8324887479e-01   -1.2797343603e+00    1.2800000000e+02    5.9352368164e-05    1.0000000000e+00
        45   -2.8963454030e-01    2.3418474005e-01   -1.2666721459e+00    9.7703760564e-01   -1.2666721459e+00    1.2800000000e+02    5.9047412109e-05    1.0000000000e+00
        46   -2.8886787202e-01    2.3683653839e-01   -1.2719381857e+00    9.8307031372e-01   -1.2719381857e+00    1.2800000000e+02    5.9829921875e-05    1.0000000000e+00
        47   -2.8705061192e-01    2.3373701872e-01   -1.2651842192e+00    9.7813360732e-01   -1.2651842192e+00    1.2800000000e+02    5.9754379883e-05    1.0000000000e+00
        48   -2.8238388380e-01    2.2111514059e-01   -1.2616292851e+00    9.7924540128e-01   -1.2616292851e+00    1.2800000000e+02    5.9872539063e-05    1.0000000000e+00
        49   -2.7648071853e-01    2.1567610206e-01   -1.2656389861e+00    9.8915826761e-01   -1.2656389861e+00    1.2800000000e+02    5.9994599609e-05    1.0000000000e+00
        50   -2.8269953584e-01    2.2472945974e-01   -1.2789037981e+00    9.9620426230e-01   -1.2789037981e+00    1.2800000000e+02    6.0074423828e-05    1.0000000000e+00
        51   -2.7825929652e-01    2.2331458405e-01   -1.2723497556e+00    9.9409045904e-01   -1.2723497556e+00    1.2800000000e+02    5.9782431640e-05    1.0000000000e+00
        52   -2.9166706801e-01    2.3929831709e-01   -1.2801248071e+00    9.8845773906e-01   -1.2801248071e+00    1.2800000000e+02    5.9428945313e-05    1.0000000000e+00
        53   -2.9132966726e-01    2.3879112391e-01   -1.2755816554e+00    9.8425198816e-01   -1.2755816554e+00    1.2800000000e+02    5.9503261719e-05    1.0000000000e+00
        54   -2.9658768823e-01    2.5291433583e-01   -1.2849189587e+00    9.8833127048e-01   -1.2849189587e+00    1.2800000000e+02    5.9827905273e-05    1.0000000000e+00
        55   -3.0627129251e-01    3.0319599675e-01   -1.2970156242e+00    9.9074433172e-01   -1.2970156242e+00    1.2800000000e+02    5.9994770508e-05    1.0000000000e+00
        56   -3.1552624412e-01    3.6605028323e-01   -1.3034998484e+00    9.8797360428e-01   -1.3034998484e+00    1.2800000000e+02    5.9539243164e-05    1.0000000000e+00
        57   -3.0569721864e-01    3.1228851396e-01   -1.2881545543e+00    9.8245733569e-01   -1.2881545543e+00    1.2800000000e+02    5.9905170898e-05    1.0000000000e+00
        58   -2.9774164672e-01    2.6017905415e-01   -1.2811859923e+00    9.8344434559e-01   -1.2811859923e+00    1.2800000000e+02    6.0219907227e-05    1.0000000000e+00
        59   -2.9310779959e-01    2.4529290266e-01   -1.2631817913e+00    9.7007399168e-01   -1.2631817913e+00    1.2800000000e+02    5.9758901367e-05    1.0000000000e+00
        60   -2.8957698999e-01    2.3609904057e-01   -1.2507856008e+00    9.6120861079e-01   -1.2507856008e+00    1.2800000000e+02    5.9551582031e-05    1.0000000000e+00
        61   -2.7889152123e-01    2.2132909648e-01   -1.2425533913e+00    9.6366187003e-01   -1.2425533913e+00    1.2800000000e+02    5.9798603516e-05    1.0000000000e+00
        62   -2.7738529676e-01    2.2485499960e-01   -1.2473426295e+00    9.6995733275e-01   -1.2473426295e+00    1.2800000000e+02    5.9385722656e-05    1.0000000000e+00
        63   -2.7937797736e-01    2.2303264510e-01   -1.2497187934e+00    9.7034081608e-01   -1.2497187934e+00    1.2800000000e+02    5.9511733399e-05    1.0000000000e+00
        64   -2.7683159436e-01    2.1995967259e-01   -1.2569704612e+00    9.8013886680e-01   -1.2569704612e+00    1.2800000000e+02    5.9419145508e-05    1.0000000000e+00
        65   -2.8089306027e-01    2.2698463103e-01   -1.2515238437e+00    9.7063078347e-01   -1.2515238437e+00    1.2800000000e+02    5.9765302734e-05    1.0000000000e+00
        66   -2.7917873322e-01    2.2909364651e-01   -1.2528490095e+00    9.7367027628e-01   -1.2528490095e+00    1.2800000000e+02    5.9769565430e-05    1.0000000000e+00
        67   -2.7785896170e-01    2.2633289260e-01   -1.2689152948e+00    9.9105633311e-01   -1.2689152948e+00    1.2800000000e+02    6.0014565430e-05    1.0000000000e+00
        68   -2.8456787202e-01    2.2822131821e-01   -1.2721076718e+00    9.8753979973e-01   -1.2721076718e+00    1.2800000000e+02    5.9863374024e-05    1.0000000000e+00
        69   -2.7785584139e-01    2.2404776413e-01   -1.2720107812e+00    9.9415493977e-01   -1.2720107812e+00    1.2800000000e+02    6.0327978516e-05    1.0000000000e+00
        70   -2.7401343775e-01    2.2277942349e-01   -1.2841398499e+00    1.0101264122e+00   -1.2841398499e+00    1.2800000000e+02    5.9858007812e-05    1.0000000000e+00
