#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        31   -4.3424208872e-01    3.3501014319e-01   -1.0959366451e+00    6.6169455635e-01   -1.0959366451e+00    1.2800000000e+02    6.0462485356e-05    1.0000000000e+00
        32   -4.3583748407e-01    3.3813137223e-01   -1.1069262398e+00    6.7108875569e-01   -1.1069262398e+00    1.2800000000e+02    5.9681835934e-05    1.0000000000e+00
        33   -4.3687741769e-01    3.3489038235e-01   -1.0991636022e+00    6.6228618450e-01   -1.0991636022e+00    1.2800000000e+02    5.9711455087e-05    1.0000000000e+00
        34   -4.3519717130e-01    3.3357723596e-01   -1.1027324072e+00    6.6753523592e-01   -1.1027324072e+00    1.2800000000e+02    5.9968950184e-05    1.0000000000e+00
        35   -4.2649643205e-01    3.2820644833e-01   -1.0955005363e+00    6.6900410427e-01   -1.0955005363e+00    1.2800000000e+02    5.9911245133e-05    1.0000000000e+00
        36   -4.2451880423e-01    3.2746050847e-01   -1.1020725991e+00    6.7755379487e-01   -1.1020725991e+00    1.2800000000e+02    6.0421811531e-05    1.0000000000e+00
        37   -4.2302456528e-01    3.2249549664e-01   -1.0915923675e+00    6.6856780226e-01   -1.0915923675e+00    1.2800000000e+02    5.9750078121e-05    1.0000000000e+00
        38   -4.1650274197e-01    3.2327392163e-01   -1.0974176162e+00    6.8091487427e-01   -1.0974176162e+00    1.2800000000e+02    5.9692226559e-05    1.0000000000e+00
        39   -4.2151136271e-01    3.4382411990e-01   -1.1070088623e+00    6.8549749961e-01   -1.1070088623e+00    1.2800000000e+02    6.0276352546e-05    1.0000000000e+00
        40   -4.2371324483e-01    3.5869064146e-01   -1.1003343228e+00    6.7662107798e-01   -1.1003343228e+00    1.2800000000e+02    6.0199814458e-05    1.0000000000e+00
        41   -4.1727061998e-01    3.4144642915e-01   -1.0969899623e+00    6.7971934234e-01   -1.0969899623e+00    1.2800000000e+02    6.0267636719e-05    1.0000000000e+00
        42   -4.1738101783e-01    3.3926106728e-01   -1.1040056738e+00    6.8662465596e-01   -1.1040056738e+00    1.2800000000e+02    5.9991416006e-05    1.0000000000e+00
        43   -4.2141956550e-01    3.6101473534e-01   -1.1143264728e+00    6.9290690732e-01   -1.1143264728e+00    1.2800000000e+02    5.9947011723e-05    1.0000000000e+00
        44   -4.2211375518e-01    3.3245844100e-01   -1.1085989361e+00    6.8648518097e-01   -1.1085989361e+00    1.2800000000e+02    5.9821054684e-05    1.0000000000e+00
        45   -4.1976248336e-01    3.3897366527e-01   -1.1136186528e+00    6.9385616949e-01   -1.1136186528e+00    1.2800000000e+02    6.0737558583e-05    1.0000000000e+00
        46   -4.1957761646e-01    3.2821048391e-01   -1.1162092985e+00    6.9663168208e-01   -1.1162092985e+00    1.2800000000e+02    6.0303334962e-05    1.0000000000e+00
        47   -4.0710906087e-01    3.2095288420e-01   -1.1026526148e+00    6.9554355391e-01   -1.1026526148e+00    1.2800000000e+02    5.9832968754e-05    1.0000000000e+00
