#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             Coulomb             BlockWeight         BlockCPU            AcceptRatio         
        31   -4.7765295866e-01    7.3266952736e-01   -1.1395411527e+00    6.6188819408e-01   -1.1395411527e+00    1.2800000000e+04    5.5246179541e-03    1.0000000000e+00
        32   -4.3122278308e-01    4.4228489358e-01   -1.1307479272e+00    6.9952514416e-01   -1.1307479272e+00    1.2800000000e+04    5.5229619531e-03    1.0000000000e+00
        33   -4.3348350706e-01    4.6838888749e-01   -1.1691784706e+00    7.3569496352e-01   -1.1691784706e+00    1.2800000000e+04    5.4975584473e-03    9.9992187500e-01
        34   -4.2437157853e-01    8.6596604835e-01   -1.2119164387e+00    7.8754486016e-01   -1.2119164387e+00    1.2800000000e+04    5.5191097363e-03    9.9992187500e-01
        35   -4.4971475721e-01    7.7065906536e-01   -1.2214591583e+00    7.7174440106e-01   -1.2214591583e+00    1.2800000000e+04    5.5226821973e-03    1.0000000000e+00
        36   -4.1636495796e-01    4.3257094641e-01   -1.1247499764e+00    7.0838501841e-01   -1.1247499764e+00    1.2800000000e+04    5.5202498242e-03    9.9984375000e-01
        37   -4.9602301734e-01    1.4830792684e+00   -1.2970792838e+00    8.0105626644e-01   -1.2970792838e+00    1.2800000000e+04    5.5184750488e-03    1.0000000000e+00
        38   -4.5100873533e-01    5.0014097701e-01   -1.2463009590e+00    7.9529222369e-01   -1.2463009590e+00    1.2800000000e+04    5.5070034375e-03    9.9992187500e-01
        39   -4.2532435037e-01    7.8004795410e-01   -1.2917062040e+00    8.6638185360e-01   -1.2917062040e+00    1.2800000000e+04    5.5266331592e-03    9.9992187500e-01
        40   -4.1305099213e-01    7.1584444861e-01   -1.3620854296e+00    9.4903443743e-01   -1.3620854296e+00    1.2800000000e+04    5.5165237744e-03    1.0000000000e+00
        41   -4.0019845366e-01    9.6550722247e-01   -1.2691980141e+00    8.6899956044e-01   -1.2691980141e+00    1.2800000000e+04    5.5219225146e-03    9.9992187500e-01
        42   -3.8391269236e-01    4.1459984307e-01   -1.2617135357e+00    8.7780084337e-01   -1.2617135357e+00    1.2800000000e+04    5.5233852734e-03    1.0000000000e+00
        43   -4.2983780581e-01    1.2073343924e+00   -1.3321402015e+00    9.0230239567e-01   -1.3321402015e+00    1.2800000000e+04    5.4987349072e-03    1.0000000000e+00
        44   -4.2789199921e-01    1.3260674545e+00   -1.3242204286e+00    8.9632842942e-01   -1.3242204286e+00    1.2800000000e+04    5.5221175635e-03    9.9992187500e-01
        45   -4.2911385035e-01    6.1628581230e-01   -1.3007114992e+00    8.7159764886e-01   -1.3007114992e+00    1.2800000000e+04    5.5193707666e-03    1.0000000000e+00
        46   -4.0341992782e-01    9.4519863575e-01   -1.2925578800e+00    8.8913795219e-01   -1.2925578800e+00    1.2800000000e+04    5.5213732129e-03    1.0000000000e+00
        47   -3.6626921493e-01    3.8227494518e-01   -1.2551227983e+00    8.8885358338e-01   -1.2551227983e+00    1.2800000000e+04    5.5209811621e-03    9.9992187500e-01
        48   -4.3524060551e-01    6.8854233523e-01   -1.2926521950e+00    8.5741158948e-01   -1.2926521950e+00    1.2800000000e+04    5.5025447852e-03    9.9992187500e-01
        49   -4.6211355431e-01    2.5160638775e+00   -1.3822596528e+00    9.2014609852e-01   -1.3822596528e+00    1.2800000000e+04    5.5204635791e-03    9.9976562500e-01
        50   -4.0810714989e-01    4.7390309831e-01   -1.2863162919e+00    8.7820914199e-01   -1.2863162919e+00    1.2800000000e+04    5.5242539307e-03    1.0000000000e+00
        51   -4.0678048325e-01    5.1918933572e-01   -1.3224504317e+00    9.1566994841e-01   -1.3224504317e+00    1.2800000000e+04    5.5235498193e-03    1.0000000000e+00
        52   -4.2284687528e-01    5.4884470601e-01   -1.2950475495e+00    8.7220067423e-01   -1.2950475495e+00    1.2800000000e+04    5.5197833643e-03    1.0000000000e+00
        53   -4.1069241700e-01    6.4767430799e-01   -1.3022413961e+00    8.9154897910e-01   -1.3022413961e+00    1.2800000000e+04    5.4977828125e-03    9.9992187500e-01
