0.05623479 -2.509499591343e+04 -1.271386778793e-02
0.05623479 -2.509499591343e+04 -1.271386778793e-02
0.05623479 -2.509499591343e+04 -1.271386778793e-02
0.05623479 -2.509499591343e+04 -1.271386778793e-02
0.07952800 -1.018232157097e+04 -1.031733104673e-02
0.07952800 -1.018232157097e+04 -1.031733104673e-02
0.07952800 -1.018232157097e+04 -1.031733104673e-02
0.07952800 -1.018232157097e+04 -1.031733104673e-02
0.11246958 2.417430410733e+03 4.898967225914e-03
0.11246958 2.417430410733e+03 4.898967225914e-03
0.11246958 2.417430410733e+03 4.898967225914e-03
0.11246958 2.417430410733e+03 4.898967225914e-03
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.12574481 4.067879620181e+03 1.030454116164e-02
0.15905600 2.881393022752e+03 1.167839199901e-02
0.15905600 2.881393022752e+03 1.167839199901e-02
0.15905600 2.881393022752e+03 1.167839199901e-02
0.15905600 2.881393022752e+03 1.167839199901e-02
0.16870437 2.030259190979e+03 9.257304650115e-03
0.16870437 2.030259190979e+03 9.257304650115e-03
0.16870437 2.030259190979e+03 9.257304650115e-03
0.16870437 2.030259190979e+03 9.257304650115e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.17783002 1.300135621281e+03 6.586871921542e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.20275742 1.918275403785e+02 1.263411635264e-03
0.22493916 2.565842637965e+02 2.079890934512e-03
0.22493916 2.565842637965e+02 2.079890934512e-03
0.22493916 2.565842637965e+02 2.079890934512e-03
0.22493916 2.565842637965e+02 2.079890934512e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23186198 3.768833558953e+02 3.245984497169e-03
0.23858401 4.999441681986e+02 4.559157267828e-03
0.23858401 4.999441681986e+02 4.559157267828e-03
0.23858401 4.999441681986e+02 4.559157267828e-03
0.23858401 4.999441681986e+02 4.559157267828e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
0.25148963 6.883913065167e+02 6.975188270687e-03
